entry_id,category,substance,formulation_policy,formulation_detail,primary_indication,priority,evidence_tier,source_hint,status,assignee,final_tier,notes,last_updated,algo_version_pinned,data_freeze_policy,deprecation_policy
SLP-MAG-CORE,sleep,magnesium,merge,glycinate baseline with sleep maintenance co-factors,sleep_quality,high,P0,PMID: 37611507,in_progress,auto,,"Anchor magnesium glycinate stack for adult insomnia cohorts
Versioned scaffold generated via scaling CLI",2025-10-19T06:32:39Z,,,
SLP-MEL-ACUTE,sleep,melatonin,split,acute dosing vs sustained release decision gate,sleep_onset,high,P0,doi:10.7326/M20-0741,pending,,,Focus on short latency onset protocols; capture pediatric safety notes,2024-05-01T00:00:00Z,,,
SLP-VAL-REST,sleep,valerian,merge,standardized valerenic acid extracts,sleep_latency,medium,P1,PMID: 31124745,pending,,,Compare extract ratios 0.8% vs 1.0% valerenic acid,2024-05-01T00:00:00Z,,,
SLP-ASH-HPA,sleep,ashwagandha,merge,KSM-66 vs Sensoril adaptogen comparison,stress_insomnia,medium,P1,PMID: 31317699,pending,,,Capture cortisol reduction outcomes alongside sleep scores,2024-05-01T00:00:00Z,,,
SLP-GLY-THERM,sleep,glycine,merge,3g evening dosing with cooling protocol,sleep_latency,medium,P1,PMID: 20110082,pending,,,Track core body temperature change and morning alertness,2024-05-01T00:00:00Z,,,
SLP-THN-ALPHA,sleep,l_theanine,merge,evening alpha-wave modulation,sleep_quality,medium,P1,PMID: 32239622,pending,,,Segment adult anxiety cohorts vs healthy sleepers,2024-05-01T00:00:00Z,,,
SLP-CHM-APNEA,sleep,chamomile,merge,apigenin standardized extracts,sleep_quality,low,P2,PMID: 26726741,pending,,,Include combinations with lemon balm,2024-05-01T00:00:00Z,,,
SLP-TCH-TRP,sleep,tart_cherry,merge,proanthocyanidin-rich concentrate,sleep_duration,medium,P1,doi:10.1080/07315724.2012.10720465,pending,,,Differentiate juice vs extract capsules,2024-05-01T00:00:00Z,,,
SLP-LAV-AROMA,sleep,lavender,split,oral Silexan vs aromatherapy arms,sleep_anxiety,medium,P1,PMID: 28153670,pending,,,Keep smell-based protocols separate from oral dosing,2024-05-01T00:00:00Z,,,
SLP-CBD-INSOMNIA,sleep,cbd,split,isolate vs full-spectrum nighttime dosing,sleep_quality,medium,P1,PMID: 31447135,pending,,,Document THC thresholds and anxiety comorbidity,2024-05-01T00:00:00Z,,,
SLP-LEM-TRANQ,sleep,lemon_balm,merge,rosmarinic acid standardization,sleep_quality,low,P1,PMID: 23724484,pending,,,Track daytime calmness spillover,2024-05-01T00:00:00Z,,,
SLP-PAS-REM,sleep,passionflower,merge,herbal tea vs extract,sleep_quality,low,P1,PMID: 22305049,pending,,,Document REM latency effects,2024-05-01T00:00:00Z,,,
SLP-GABA-ORAL,sleep,gaba,merge,oral pharma-GABA vs synthetic,sleep_latency,low,P1,PMID: 20926445,pending,,,Include heart-rate variability outcomes,2024-05-01T00:00:00Z,,,
SLP-FHTP-SEROTONIN,sleep,5htp,split,5-HTP alone vs with vitamin B6,sleep_quality,medium,P1,PMID: 12717472,pending,,,Track serotonin syndrome risk alerts,2024-05-01T00:00:00Z,,,
SLP-KAVA-ANXIETY,sleep,kava,split,noble cultivars vs unspecified,sleep_anxiety,medium,P1,PMID: 22409871,pending,,,Surface liver safety monitoring requirements,2024-05-01T00:00:00Z,,,
SLP-TRYP-MEL,sleep,tryptophan,merge,evening carbohydrate pairing,sleep_onset,medium,P1,PMID: 36313330,pending,,,Highlight serotonin precursor stacking,2024-05-01T00:00:00Z,,,
SLP-INOS-OCULAR,sleep,inositol,merge,myo-inositol bedtime dosing,sleep_latency,low,P1,PMID: 29083590,pending,,,Cross-reference PCOS insomnia cohorts,2024-05-01T00:00:00Z,,,
SLP-THEA-MATCHA,sleep,matcha,split,decaf ceremonial vs capsule,sleep_quality,low,P1,PMID: 35061279,pending,,,Separate caffeine-containing blends,2024-05-01T00:00:00Z,,,
SLP-MAG-THR,sleep,magnesium_threonate,merge,L-threonate cognitive-sleep crossover,sleep_quality,medium,P1,PMID: 32748788,pending,,,Highlight blood-brain barrier penetration claims,2024-05-01T00:00:00Z,,,
SLP-CBD-MICRO,sleep,cbd_microdose,merge,sub-10mg nightly titration,sleep_maintenance,medium,P1,PMID: 30624194,pending,,,Evaluate microdosing adherence,2024-05-01T00:00:00Z,,,
COG-BAC-MEM,cognition,bacopa,merge,bacoside A standardized,memory,high,P0,PMID: 21129626,pending,,,Emphasize long-term memory endpoints,2024-05-01T00:00:00Z,,,
COG-LION-NEURO,cognition,lions_mane,merge,hericenone vs erinacine,cognitive_decline,high,P0,PMID: 24266378,pending,,,Separate dementia vs mild impairment cohorts,2024-05-01T00:00:00Z,,,
COG-GINK-CIRC,cognition,ginkgo,merge,EGb 761 standard,memory,medium,P1,PMID: 24294394,pending,,,Document platelet interaction warnings,2024-05-01T00:00:00Z,,,
COG-PSER-EXEC,cognition,phosphatidylserine,merge,soy vs sunflower source,executive_function,medium,P1,PMID: 21432743,pending,,,Segment ADHD adult cohorts,2024-05-01T00:00:00Z,,,
COG-ALPGPC-FOCUS,cognition,alpha_gpc,merge,cognitive enhancement,attention,medium,P1,PMID: 23909254,pending,,,Include stroke recovery data,2024-05-01T00:00:00Z,,,
COG-RHOD-STRESS,cognition,rhodiola,merge,standardized SHR-5 extract with fatigue endpoints,stress_resilience,medium,P1,PMID: 32175974,ready,,,Prioritize occupational stress populations before student cohorts,2024-05-01T00:00:00Z,,,
COG-ACET-LEARN,cognition,acetyl_l_carnitine,merge,neuroplasticity stack,processing_speed,medium,P1,PMID: 24316276,pending,,,Flag combination with alpha lipoic acid,2024-05-01T00:00:00Z,,,
COG-CIT-CIRC,cognition,citicoline,merge,CDP-choline oral,attention,medium,P1,PMID: 18676590,pending,,,Include neuroimaging evidence,2024-05-01T00:00:00Z,,,
COG-LUTE-VIS,cognition,lutein,merge,brain-eye axis,processing_speed,low,P1,PMID: 26864365,pending,,,Track macular pigment density,2024-05-01T00:00:00Z,,,
COG-RESV-NEURO,cognition,resveratrol,merge,microencapsulated brain delivery,cerebral_blood_flow,medium,P1,PMID: 22976155,pending,,,Highlight hemodynamic outcomes,2024-05-01T00:00:00Z,,,
COG-CURC-NEURO,cognition,curcumin,split,BCM-95 vs Theracurmin,memory,medium,P1,PMID: 28196908,pending,,,Compare bioavailability enhancements,2024-05-01T00:00:00Z,,,
COG-OMEGA-COG,cognition,omega_3,split,DHA dominant vs balanced,cognitive_decline,high,P0,PMID: 26502823,pending,,,Stratify APOE4 carriers,2024-05-01T00:00:00Z,,,
COG-BRAIN-MULTI,cognition,nootropic_blend,merge,multi-ingredient capsules,attention,low,P1,PMID: 33601557,pending,,,Request component disclosure,2024-05-01T00:00:00Z,,,
COG-PEP-NEURO,cognition,cerebrolysin_peptide,split,injectable vs oral mimetics,cognitive_decline,medium,P1,PMID: 26059819,pending,,,Flag invasive delivery methods,2024-05-01T00:00:00Z,,,
COG-B12-COG,cognition,methyl_b12,merge,high-dose methylcobalamin,cognitive_decline,medium,P1,PMID: 31630248,pending,,,Capture neuropathy improvements,2024-05-01T00:00:00Z,,,
COG-FOL-MCI,cognition,methylfolate,merge,L-methylfolate cognition,memory,medium,P1,PMID: 26015964,pending,,,Include homocysteine modulation,2024-05-01T00:00:00Z,,,
COG-NICO-NOOT,cognition,nicotinamide_riboside,split,NR vs NMN comparative,mitochondrial_support,medium,P1,PMID: 34253274,pending,,,Track NAD+ biomarker response,2024-05-01T00:00:00Z,,,
COG-CAFF-ADJ,cognition,caffeine_l_theanine,merge,synergy dosing,attention,high,P0,PMID: 23606881,pending,,,Monitor jitter reduction,2024-05-01T00:00:00Z,,,
COG-GINS-ADAPT,cognition,panax_ginseng,merge,standardized ginsenosides,processing_speed,medium,P1,PMID: 23737848,pending,,,Highlight mental fatigue endpoints,2024-05-01T00:00:00Z,,,
