substance,substance_id,category,domain,outcome,population,n_studies,entry_path,needs_real_dois
behavioral,behavioral,sleep,entries,sleep_quality,Adults with sleep quality concerns,3,entries/behavioral/5htp-slp-fhtp-serotonin/sleep/v1,yes
behavioral,behavioral,sleep,entries,stress_insomnia,Adults with stress insomnia concerns,3,entries/behavioral/ashwagandha-slp-ash-hpa/sleep/v1,yes
behavioral,behavioral,sleep,entries,sleep_maintenance,Adults with sleep maintenance concerns,3,entries/behavioral/cbd-microdose-slp-cbd-micro/sleep/v1,yes
behavioral,behavioral,sleep,entries,sleep_quality,Adults with sleep quality concerns,3,entries/behavioral/cbd-slp-cbd-insomnia/sleep/v1,yes
behavioral,behavioral,sleep,entries,sleep_quality,Adults with sleep quality concerns,3,entries/behavioral/chamomile-slp-chm-apnea/sleep/v1,yes
behavioral,behavioral,sleep,entries,sleep_latency,Adults with sleep latency concerns,3,entries/behavioral/gaba-slp-gaba-oral/sleep/v1,yes
behavioral,behavioral,sleep,entries,sleep_latency,Adults with sleep latency concerns,3,entries/behavioral/glycine-slp-gly-therm/sleep/v1,yes
behavioral,behavioral,sleep,entries,sleep_latency,Adults with sleep latency concerns,3,entries/behavioral/inositol-slp-inos-ocular/sleep/v1,yes
behavioral,behavioral,sleep,entries,sleep_anxiety,Adults with sleep anxiety concerns,3,entries/behavioral/kava-slp-kava-anxiety/sleep/v1,yes
behavioral,behavioral,sleep,entries,sleep_quality,Adults with sleep quality concerns,3,entries/behavioral/l-theanine-slp-thn-alpha/sleep/v1,yes
behavioral,behavioral,sleep,entries,sleep_anxiety,Adults with sleep anxiety concerns,3,entries/behavioral/lavender-slp-lav-aroma/sleep/v1,yes
behavioral,behavioral,sleep,entries,sleep_quality,Adults with sleep quality concerns,3,entries/behavioral/lemon-balm-slp-lem-tranq/sleep/v1,yes
behavioral,behavioral,sleep,entries,sleep_quality,Adults with sleep quality concerns,3,entries/behavioral/magnesium-slp-mag-core/sleep/v1,yes
behavioral,behavioral,sleep,entries,sleep_quality,Adults with sleep quality concerns,3,entries/behavioral/magnesium-threonate-slp-mag-thr/sleep/v1,yes
behavioral,behavioral,sleep,entries,sleep_quality,Adults with sleep quality concerns,3,entries/behavioral/matcha-slp-thea-matcha/sleep/v1,yes
behavioral,behavioral,sleep,entries,sleep_onset,Adults with sleep onset concerns,3,entries/behavioral/melatonin-slp-mel-acute/sleep/v1,yes
behavioral,behavioral,sleep,entries,sleep_quality,Adults with sleep quality concerns,3,entries/behavioral/passionflower-slp-pas-rem/sleep/v1,yes
behavioral,behavioral,sleep,entries,sleep_duration,Adults with sleep duration concerns,3,entries/behavioral/tart-cherry-slp-tch-trp/sleep/v1,yes
behavioral,behavioral,sleep,entries,sleep_onset,Adults with sleep onset concerns,3,entries/behavioral/tryptophan-slp-tryp-mel/sleep/v1,yes
immune,immune,immune,entries,immune_modulation,Adults with immune modulation concerns,3,entries/immune/andrographis-imm-imm10/immune/v1,yes
immune,immune,inflammation,entries,joint_pain,Adults with joint pain concerns,3,entries/immune/astaxanthin-infl-inf09/inflammation/v1,yes
immune,immune,immune_health,entries,immune_readiness,Adults with immune readiness concerns,3,entries/immune/beta-glucan-imm-beta-gluc/immune_health/v1,yes
immune,immune,immune,entries,antiviral_support,Adults with antiviral support concerns,3,entries/immune/beta-glucans-imm-imm07/immune/v1,yes
immune,immune,immune_health,entries,immune_modulation,Adults with immune modulation concerns,3,entries/immune/black-cumin-seed-imm-bcp-imm/immune_health/v1,yes
immune,immune,inflammation,entries,joint_pain,Adults with joint pain concerns,3,entries/immune/black-currant-infl-inf19/inflammation/v1,yes
