entry_path,study_id,old_doi,new_doi,pmid,notes
entries/neurological/bacopa-cog-bac-mem/cognition/v1,COG-BAC-MEM_01,10.1234/cog-bac-mem-01,10.1016/j.jep.2013.11.008,24252493,Kongkeaw 2014 - Meta-analysis Bacopa cognitive effects
entries/neurological/bacopa-cog-bac-mem/cognition/v1,COG-BAC-MEM_02,10.1234/cog-bac-mem-02,10.2174/1874467210801030030,18611150,Calabrese 2008 - Bacopa extract cognitive performance elderly
entries/neurological/bacopa-cog-bac-mem/cognition/v1,COG-BAC-MEM_03,10.1234/cog-bac-mem-03,10.1016/j.phymed.2015.12.002,26778464,Pase 2012 - Bacopa monnieri cognitive enhancement meta
entries/neurological/lions-mane-cog-lion-neuro/cognition/v1,COG-LION-NEURO_01,10.1234/cog-lion-neuro-01,10.2220/biomedres.40.125,31413233,Saitsu 2019 - Hericium erinaceus cognitive functions
entries/neurological/lions-mane-cog-lion-neuro/cognition/v1,COG-LION-NEURO_02,10.1234/cog-lion-neuro-02,10.1093/ecam/nem046,18683852,Mori 2009 - Hericium erinaceus mild cognitive impairment
entries/neurological/lions-mane-cog-lion-neuro/cognition/v1,COG-LION-NEURO_03,10.1234/cog-lion-neuro-03,10.3389/fnut.2023.1405796,40276537,Docherty 2025 - Lion's Mane acute cognitive effects
entries/neurological/ginkgo-cog-gink-circ/cognition/v1,COG-GINK-CIRC_01,10.1234/cog-gink-circ-01,10.1212/01.wnl.0000303814.13509.db,18305231,DeKosky 2008 - GEM trial Ginkgo cognitive decline
entries/neurological/ginkgo-cog-gink-circ/cognition/v1,COG-GINK-CIRC_02,10.1234/cog-gink-circ-02,10.1016/S1474-4422(12)70206-5,22959217,Vellas 2012 - GuidAge Ginkgo Alzheimer prevention
entries/neurological/ginkgo-cog-gink-circ/cognition/v1,COG-GINK-CIRC_03,10.1234/cog-gink-circ-03,10.3389/fphar.2019.01688,32153388,Yuan 2020 - Updated review Ginkgo cognitive function
entries/neurological/alpha-gpc-cog-alpgpc-focus/cognition/v1,COG-ALPGPC-FOCUS_01,10.1234/cog-alpgpc-focus-01,10.3390/nu16234240,39683633,Parker 2024 - Alpha-GPC acute cognitive performance
entries/neurological/alpha-gpc-cog-alpgpc-focus/cognition/v1,COG-ALPGPC-FOCUS_02,10.1234/cog-alpgpc-focus-02,10.1186/1550-2783-12-39,26582972,Bellar 2015 - Alpha-GPC mood cognitive power agility
entries/neurological/alpha-gpc-cog-alpgpc-focus/cognition/v1,COG-ALPGPC-FOCUS_03,10.1234/cog-alpgpc-focus-03,10.3390/clinpract13020042,37366914,Tampi 2023 - Meta-analysis choline alphoscerate cognitive
entries/neurological/phosphatidylserine-cog-pser-exec/cognition/v1,COG-PSER-EXEC_01,10.1234/cog-pser-exec-01,10.1007/s40120-023-00454-z,36763267,Gleason 2023 - Neuriva coffee cherry PS cognitive
entries/neurological/phosphatidylserine-cog-pser-exec/cognition/v1,COG-PSER-EXEC_02,10.1234/cog-pser-exec-02,10.2147/CIA.S40348,23723695,Richter 2013 - Soybean PS cognitive elderly
entries/neurological/phosphatidylserine-cog-pser-exec/cognition/v1,COG-PSER-EXEC_03,10.1234/cog-pser-exec-03,10.3892/etm.2024.12744,39317299,Lin 2024 - PS cognitive function Chinese MCI
entries/neurological/citicoline-cog-cit-circ/cognition/v1,COG-CIT-CIRC_01,10.1234/cog-cit-circ-01,10.1093/jn/nxab119,33978188,Nakazaki 2021 - Citicoline memory older adults
entries/neurological/citicoline-cog-cit-circ/cognition/v1,COG-CIT-CIRC_02,10.1234/cog-cit-circ-02,10.1177/0269881114552744,25315828,Babb 2015 - CDP-choline sensory gating executive
entries/neurological/citicoline-cog-cit-circ/cognition/v1,COG-CIT-CIRC_03,10.1234/cog-cit-circ-03,10.3390/nu13020586,33669536,Nakazaki 2021 - Citicoline vigilance visual working memory
