entry_id,category,tier,label,P_effect_gt_delta,I2,n_studies,policy_fingerprint,audit_hash,path
unknown,fenugreek-meta-glu11,Silver,PASS,0.8423,0.0,3,0x6036438e1b958d88,0x306127595a45edfd,entries/metabolic/fenugreek-meta-glu11/metabolic/v1
unknown,quercetin-long-lon06,Black,FAIL,0.9999,0.0,3,0x6036438e1b958d88,0xae9748032f15d018,entries/metabolic/quercetin-long-lon06/longevity/v1
unknown,inositol-meta-glu07,Silver,PASS,0.8423,0.0,3,0x6036438e1b958d88,0x863bc3fc74a2ef62,entries/metabolic/inositol-meta-glu07/metabolic/v1
unknown,cinnamon-meta-glu04,Silver,PASS,0.8423,0.0,3,0x6036438e1b958d88,0xc9ef52c6a6d6a113,entries/metabolic/cinnamon-meta-glu04/metabolic/v1
unknown,spirulina-meta-glu12,Silver,PASS,0.8423,0.0,3,0x6036438e1b958d88,0x6e43c6bd75e7aad9,entries/metabolic/spirulina-meta-glu12/metabolic/v1
unknown,bitter-melon-meta-glu06,Silver,PASS,0.8423,0.0,3,0x6036438e1b958d88,0x5d00498dcb3b920d,entries/metabolic/bitter-melon-meta-glu06/metabolic/v1
unknown,alpha-lipoic-acid-meta-glu02,Silver,PASS,0.8423,0.0,3,0x6036438e1b958d88,0xf7f7aebeb5eef564,entries/metabolic/alpha-lipoic-acid-meta-glu02/metabolic/v1
unknown,chromium-picolinate-met-chrom-ins,Gold,PASS,0.932,0.0,3,0x6036438e1b958d88,0x50de0c1873fdc15c,entries/metabolic/chromium-picolinate-met-chrom-ins/metabolic/v1
unknown,omega-3-meta-glu19,Silver,PASS,0.8423,0.0,3,0x6036438e1b958d88,0x17c4321017b99d79,entries/metabolic/omega-3-meta-glu19/metabolic/v1
unknown,artichoke-extract-meta-glu15,Silver,PASS,0.8423,0.0,3,0x6036438e1b958d88,0xa8814a33757af01a,entries/metabolic/artichoke-extract-meta-glu15/metabolic/v1
unknown,milk-thistle-meta-glu14,Silver,PASS,0.8423,0.0,3,0x6036438e1b958d88,0xfb6c0097ea4fdb56,entries/metabolic/milk-thistle-meta-glu14/metabolic/v1
unknown,vanadyl-sulfate-meta-glu09,Silver,PASS,0.8423,0.0,3,0x6036438e1b958d88,0x300760c81389cdb5,entries/metabolic/vanadyl-sulfate-meta-glu09/metabolic/v1
unknown,alpha-ketoglutarate-long-lon13,Black,FAIL,0.9999,0.0,3,0x6036438e1b958d88,0x30427dc521891f11,entries/metabolic/alpha-ketoglutarate-long-lon13/longevity/v1
unknown,myo-inositol-met-inos-ovul,Gold,PASS,0.932,0.0,3,0x6036438e1b958d88,0x5943439f0fc6bf1b,entries/metabolic/myo-inositol-met-inos-ovul/metabolic/v1
unknown,omega-3-met-omega-prediab,Gold,PASS,0.932,0.0,3,0x6036438e1b958d88,0xa28c8eeef03cc1da,entries/metabolic/omega-3-met-omega-prediab/metabolic/v1
unknown,astaxanthin-long-lon11,Black,FAIL,0.9999,0.0,3,0x6036438e1b958d88,0xbb0ca92d21ec2c95,entries/metabolic/astaxanthin-long-lon11/longevity/v1
unknown,curcumin-met-curc-metab,Gold,PASS,0.932,0.0,3,0x6036438e1b958d88,0x7341a114d3baa092,entries/metabolic/curcumin-met-curc-metab/metabolic/v1
unknown,magnesium-meta-glu08,Silver,PASS,0.8423,0.0,3,0x6036438e1b958d88,0x18236b693eb92a9c,entries/metabolic/magnesium-meta-glu08/metabolic/v1
unknown,curcumin-meta-glu20,Silver,PASS,0.8423,0.0,3,0x6036438e1b958d88,0x44dbab701dc45620,entries/metabolic/curcumin-meta-glu20/metabolic/v1
unknown,prebiotic-fiber-met-glp-fiber,Gold,PASS,0.932,0.0,3,0x6036438e1b958d88,0xec12894892a8a61e,entries/metabolic/prebiotic-fiber-met-glp-fiber/metabolic/v1
unknown,spermidine-long-lon07,Black,FAIL,0.9999,0.0,3,0x6036438e1b958d88,0x9b7d3d0ab2396f35,entries/metabolic/spermidine-long-lon07/longevity/v1
unknown,glutathione-long-lon15,Black,FAIL,0.9999,0.0,3,0x6036438e1b958d88,0x9d9b97d393981168,entries/metabolic/glutathione-long-lon15/longevity/v1
unknown,nicotinamide-riboside-long-lon01,Black,FAIL,0.9999,0.0,3,0x6036438e1b958d88,0x25f87ce08b535977,entries/metabolic/nicotinamide-riboside-long-lon01/longevity/v1
unknown,olive-leaf-meta-glu16,Silver,PASS,0.8423,0.0,3,0x6036438e1b958d88,0xa9dc23815be15f4f,entries/metabolic/olive-leaf-meta-glu16/metabolic/v1
unknown,rapamycin-microdose-long-lon19,Black,FAIL,0.9999,0.0,3,0x6036438e1b958d88,0xb935c314030a7a77,entries/metabolic/rapamycin-microdose-long-lon19/longevity/v1
unknown,resveratrol-long-lon03,Black,FAIL,0.9999,0.0,3,0x6036438e1b958d88,0x2d6982eed5150ec3,entries/metabolic/resveratrol-long-lon03/longevity/v1
unknown,nicotinamide-mononucleotide-long-lon02,Black,FAIL,0.9999,0.0,3,0x6036438e1b958d88,0x632c05ab5160c26c,entries/metabolic/nicotinamide-mononucleotide-long-lon02/longevity/v1
unknown,chromium-meta-glu03,Silver,PASS,0.8423,0.0,3,0x6036438e1b958d88,0xc6331fbb288f6169,entries/metabolic/chromium-meta-glu03/metabolic/v1
unknown,melatonin-long-lon09,Black,FAIL,0.9999,0.0,3,0x6036438e1b958d88,0x67768ee5bb1f4417,entries/metabolic/melatonin-long-lon09/longevity/v1
unknown,berberine-long-lon17,Black,FAIL,0.9999,0.0,3,0x6036438e1b958d88,0x3535752ca61139d8,entries/metabolic/berberine-long-lon17/longevity/v1
unknown,coq10-long-lon10,Black,FAIL,0.9999,0.0,3,0x6036438e1b958d88,0xe30be2f0c77aa2ca,entries/metabolic/coq10-long-lon10/longevity/v1
unknown,gymnema-meta-glu05,Silver,PASS,0.8423,0.0,3,0x6036438e1b958d88,0x04206afbcf6ab4ef,entries/metabolic/gymnema-meta-glu05/metabolic/v1
unknown,pterostilbene-meta-glu18,Silver,PASS,0.8423,0.0,3,0x6036438e1b958d88,0x71a62b06302ccf92,entries/metabolic/pterostilbene-meta-glu18/metabolic/v1
unknown,apple-cider-vinegar-meta-glu10,Silver,PASS,0.8423,0.0,3,0x6036438e1b958d88,0xad43b9cd5af8a39b,entries/metabolic/apple-cider-vinegar-meta-glu10/metabolic/v1
unknown,metformin-analog-long-lon18,Black,FAIL,0.9999,0.0,3,0x6036438e1b958d88,0x475fe95fe77e4d32,entries/metabolic/metformin-analog-long-lon18/longevity/v1
unknown,alpha-lipoic-acid-met-ala-mito,Gold,PASS,0.932,0.0,3,0x6036438e1b958d88,0x76ebd80d11f3a319,entries/metabolic/alpha-lipoic-acid-met-ala-mito/metabolic/v1
unknown,resveratrol-meta-glu17,Silver,PASS,0.8423,0.0,3,0x6036438e1b958d88,0x0aa9916273c6cf7d,entries/metabolic/resveratrol-meta-glu17/metabolic/v1
unknown,cinnamon-met-cinn-a1c,Gold,PASS,0.932,0.0,3,0x6036438e1b958d88,0x8c4b38033b5e9a12,entries/metabolic/cinnamon-met-cinn-a1c/metabolic/v1
unknown,collagen-long-lon14,Black,FAIL,0.9999,0.0,3,0x6036438e1b958d88,0xd803cec5672f9966,entries/metabolic/collagen-long-lon14/longevity/v1
unknown,berberine-met-gluc-ber,Gold,PASS,0.932,0.0,3,0x6036438e1b958d88,0x611ff11f1cc81753,entries/metabolic/berberine-met-gluc-ber/metabolic/v1
unknown,fisetin-long-lon05,Black,FAIL,0.9999,0.0,3,0x6036438e1b958d88,0xf53bb3d67385f504,entries/metabolic/fisetin-long-lon05/longevity/v1
unknown,berberine-meta-glu01,Silver,PASS,0.8423,0.0,3,0x6036438e1b958d88,0x1be0060e2e0bd5ef,entries/metabolic/berberine-meta-glu01/metabolic/v1
unknown,chlorella-meta-glu13,Silver,PASS,0.8423,0.0,3,0x6036438e1b958d88,0xb2748d060657a8c8,entries/metabolic/chlorella-meta-glu13/metabolic/v1
unknown,pterostilbene-long-gen-0664,Black,FAIL,0.9999,0.0,3,0x6036438e1b958d88,0x993e188bf422adda,entries/metabolic/pterostilbene-long-gen-0664/longevity/v1
unknown,carnosine-long-gen-0673,Black,FAIL,0.9999,0.0,3,0x6036438e1b958d88,0x928717e5c56325d4,entries/metabolic/carnosine-long-gen-0673/longevity/v1
unknown,vitamin-k2-long-gen-0637,Black,FAIL,0.9999,0.0,3,0x6036438e1b958d88,0xf33ca247519d3d56,entries/metabolic/vitamin-k2-long-gen-0637/longevity/v1
