entry_id,category,domain,slug,tier,label,path,generated_at
CARD-GEN-0301,cardiovascular,physiological,omega-3-card-gen-0301,Black,FAIL,entries/physiological/omega-3-card-gen-0301/cardiovascular/v1,2025-11-06T07:07:38.330819+00:00
CARD-GEN-0302,cardiovascular,physiological,coq10-card-gen-0302,Black,FAIL,entries/physiological/coq10-card-gen-0302/cardiovascular/v1,2025-11-06T07:07:38.403415+00:00
CARD-GEN-0303,cardiovascular,physiological,garlic-card-gen-0303,Black,FAIL,entries/physiological/garlic-card-gen-0303/cardiovascular/v1,2025-11-06T07:07:38.476104+00:00
CARD-GEN-0304,cardiovascular,physiological,hawthorn-card-gen-0304,Black,FAIL,entries/physiological/hawthorn-card-gen-0304/cardiovascular/v1,2025-11-06T07:07:38.554282+00:00
CARD-GEN-0305,cardiovascular,physiological,l-arginine-card-gen-0305,Black,FAIL,entries/physiological/l-arginine-card-gen-0305/cardiovascular/v1,2025-11-06T07:07:38.628127+00:00
CARD-GEN-0306,cardiovascular,physiological,l-citrulline-card-gen-0306,Black,FAIL,entries/physiological/l-citrulline-card-gen-0306/cardiovascular/v1,2025-11-06T07:07:38.696330+00:00
CARD-GEN-0307,cardiovascular,physiological,beetroot-card-gen-0307,Black,FAIL,entries/physiological/beetroot-card-gen-0307/cardiovascular/v1,2025-11-06T07:07:38.772655+00:00
CARD-GEN-0308,cardiovascular,physiological,potassium-card-gen-0308,Black,FAIL,entries/physiological/potassium-card-gen-0308/cardiovascular/v1,2025-11-06T07:07:38.842763+00:00
CARD-GEN-0309,cardiovascular,physiological,magnesium-card-gen-0309,Black,FAIL,entries/physiological/magnesium-card-gen-0309/cardiovascular/v1,2025-11-06T07:07:38.913034+00:00
CARD-GEN-0310,cardiovascular,physiological,vitamin-k2-card-gen-0310,Black,FAIL,entries/physiological/vitamin-k2-card-gen-0310/cardiovascular/v1,2025-11-06T07:07:38.979073+00:00
CARD-GEN-0311,cardiovascular,physiological,niacin-card-gen-0311,Black,FAIL,entries/physiological/niacin-card-gen-0311/cardiovascular/v1,2025-11-06T07:07:39.050702+00:00
CARD-GEN-0312,cardiovascular,physiological,berberine-card-gen-0312,Black,FAIL,entries/physiological/berberine-card-gen-0312/cardiovascular/v1,2025-11-06T07:07:39.131967+00:00
CARD-GEN-0313,cardiovascular,physiological,red-yeast-rice-card-gen-0313,Black,FAIL,entries/physiological/red-yeast-rice-card-gen-0313/cardiovascular/v1,2025-11-06T07:07:39.207308+00:00
CARD-GEN-0314,cardiovascular,physiological,grape-seed-extract-card-gen-0314,Black,FAIL,entries/physiological/grape-seed-extract-card-gen-0314/cardiovascular/v1,2025-11-06T07:07:39.279217+00:00
CARD-GEN-0315,cardiovascular,physiological,nattokinase-card-gen-0315,Black,FAIL,entries/physiological/nattokinase-card-gen-0315/cardiovascular/v1,2025-11-06T07:07:39.348508+00:00
CARD-GEN-0316,cardiovascular,physiological,hibiscus-card-gen-0316,Black,FAIL,entries/physiological/hibiscus-card-gen-0316/cardiovascular/v1,2025-11-06T07:07:39.413457+00:00
CARD-GEN-0317,cardiovascular,physiological,aged-garlic-card-gen-0317,Black,FAIL,entries/physiological/aged-garlic-card-gen-0317/cardiovascular/v1,2025-11-06T07:07:39.484077+00:00
