entry_id,category,domain,slug,tier,label,path,generated_at
COGN-GEN-0101,cognition,neurological,bacopa-cogn-gen-0101,Gold,PASS,entries/neurological/bacopa-cogn-gen-0101/cognition/v1,2025-11-06T07:07:38.331031+00:00
COGN-GEN-0102,cognition,neurological,lions-mane-cogn-gen-0102,Gold,PASS,entries/neurological/lions-mane-cogn-gen-0102/cognition/v1,2025-11-06T07:07:38.410434+00:00
COGN-GEN-0103,cognition,neurological,ginkgo-cogn-gen-0103,Gold,PASS,entries/neurological/ginkgo-cogn-gen-0103/cognition/v1,2025-11-06T07:07:38.487274+00:00
COGN-GEN-0104,cognition,neurological,phosphatidylserine-cogn-gen-0104,Gold,PASS,entries/neurological/phosphatidylserine-cogn-gen-0104/cognition/v1,2025-11-06T07:07:38.556771+00:00
COGN-GEN-0105,cognition,neurological,alpha-gpc-cogn-gen-0105,Gold,PASS,entries/neurological/alpha-gpc-cogn-gen-0105/cognition/v1,2025-11-06T07:07:38.626577+00:00
COGN-GEN-0106,cognition,neurological,rhodiola-cogn-gen-0106,Gold,PASS,entries/neurological/rhodiola-cogn-gen-0106/cognition/v1,2025-11-06T07:07:38.701439+00:00
COGN-GEN-0107,cognition,neurological,acetyl-l-carnitine-cogn-gen-0107,Gold,PASS,entries/neurological/acetyl-l-carnitine-cogn-gen-0107/cognition/v1,2025-11-06T07:07:38.774953+00:00
COGN-GEN-0108,cognition,neurological,citicoline-cogn-gen-0108,Gold,PASS,entries/neurological/citicoline-cogn-gen-0108/cognition/v1,2025-11-06T07:07:38.849070+00:00
COGN-GEN-0109,cognition,neurological,lutein-cogn-gen-0109,Gold,PASS,entries/neurological/lutein-cogn-gen-0109/cognition/v1,2025-11-06T07:07:38.922265+00:00
COGN-GEN-0110,cognition,neurological,resveratrol-cogn-gen-0110,Gold,PASS,entries/neurological/resveratrol-cogn-gen-0110/cognition/v1,2025-11-06T07:07:38.991507+00:00
COGN-GEN-0111,cognition,neurological,curcumin-cogn-gen-0111,Gold,PASS,entries/neurological/curcumin-cogn-gen-0111/cognition/v1,2025-11-06T07:07:39.061518+00:00
COGN-GEN-0112,cognition,neurological,omega-3-cogn-gen-0112,Gold,PASS,entries/neurological/omega-3-cogn-gen-0112/cognition/v1,2025-11-06T07:07:39.131060+00:00
COGN-GEN-0113,cognition,neurological,nootropic-blend-cogn-gen-0113,Gold,PASS,entries/neurological/nootropic-blend-cogn-gen-0113/cognition/v1,2025-11-06T07:07:39.204261+00:00
COGN-GEN-0114,cognition,neurological,cerebrolysin-peptide-cogn-gen-0114,Gold,PASS,entries/neurological/cerebrolysin-peptide-cogn-gen-0114/cognition/v1,2025-11-06T07:07:39.271698+00:00
COGN-GEN-0115,cognition,neurological,methyl-b12-cogn-gen-0115,Gold,PASS,entries/neurological/methyl-b12-cogn-gen-0115/cognition/v1,2025-11-06T07:07:39.339405+00:00
