entry_id,category,domain,slug,tier,label,path,generated_at
INFL-INF01,inflammation,immune,curcumin-infl-inf01,Black,FAIL,entries/immune/curcumin-infl-inf01/inflammation/v1,2025-11-06T07:17:27.829192+00:00
INFL-INF02,inflammation,immune,boswellia-infl-inf02,Black,FAIL,entries/immune/boswellia-infl-inf02/inflammation/v1,2025-11-06T07:17:27.896813+00:00
INFL-INF03,inflammation,immune,omega-3-infl-inf03,Black,FAIL,entries/immune/omega-3-infl-inf03/inflammation/v1,2025-11-06T07:17:27.964449+00:00
INFL-INF04,inflammation,immune,ginger-infl-inf04,Black,FAIL,entries/immune/ginger-infl-inf04/inflammation/v1,2025-11-06T07:17:28.036677+00:00
INFL-INF05,inflammation,immune,quercetin-infl-inf05,Black,FAIL,entries/immune/quercetin-infl-inf05/inflammation/v1,2025-11-06T07:17:28.105879+00:00
INFL-INF06,inflammation,immune,bromelain-infl-inf06,Black,FAIL,entries/immune/bromelain-infl-inf06/inflammation/v1,2025-11-06T07:17:28.176706+00:00
INFL-INF07,inflammation,immune,green-tea-infl-inf07,Black,FAIL,entries/immune/green-tea-infl-inf07/inflammation/v1,2025-11-06T07:17:28.258318+00:00
INFL-INF08,inflammation,immune,resveratrol-infl-inf08,Black,FAIL,entries/immune/resveratrol-infl-inf08/inflammation/v1,2025-11-06T07:17:28.330506+00:00
INFL-INF09,inflammation,immune,astaxanthin-infl-inf09,Black,FAIL,entries/immune/astaxanthin-infl-inf09/inflammation/v1,2025-11-06T07:17:28.400623+00:00
INFL-INF10,inflammation,immune,pycnogenol-infl-inf10,Black,FAIL,entries/immune/pycnogenol-infl-inf10/inflammation/v1,2025-11-06T07:17:28.471120+00:00
INFL-INF11,inflammation,immune,collagen-infl-inf11,Black,FAIL,entries/immune/collagen-infl-inf11/inflammation/v1,2025-11-06T07:17:28.544605+00:00
INFL-INF12,inflammation,immune,msm-infl-inf12,Black,FAIL,entries/immune/msm-infl-inf12/inflammation/v1,2025-11-06T07:17:28.615238+00:00
INFL-INF13,inflammation,immune,hyaluronic-acid-infl-inf13,Black,FAIL,entries/immune/hyaluronic-acid-infl-inf13/inflammation/v1,2025-11-06T07:17:28.691274+00:00
INFL-INF14,inflammation,immune,sulforaphane-infl-inf14,Black,FAIL,entries/immune/sulforaphane-infl-inf14/inflammation/v1,2025-11-06T07:17:28.770963+00:00
INFL-INF15,inflammation,immune,vitamin-c-infl-inf15,Black,FAIL,entries/immune/vitamin-c-infl-inf15/inflammation/v1,2025-11-06T07:17:28.847214+00:00
INFL-INF16,inflammation,immune,vitamin-e-infl-inf16,Black,FAIL,entries/immune/vitamin-e-infl-inf16/inflammation/v1,2025-11-06T07:17:28.921489+00:00
INFL-INF17,inflammation,immune,turmeric-oil-infl-inf17,Black,FAIL,entries/immune/turmeric-oil-infl-inf17/inflammation/v1,2025-11-06T07:17:28.996980+00:00
INFL-INF18,inflammation,immune,evening-primrose-infl-inf18,Black,FAIL,entries/immune/evening-primrose-infl-inf18/inflammation/v1,2025-11-06T07:17:29.080101+00:00
