entry_id,category,domain,slug,tier,label,path,generated_at
LONG-LON01,longevity,metabolic,nicotinamide-riboside-long-lon01,Black,FAIL,entries/metabolic/nicotinamide-riboside-long-lon01/longevity/v1,2025-11-06T07:16:44.970051+00:00
LONG-LON02,longevity,metabolic,nicotinamide-mononucleotide-long-lon02,Black,FAIL,entries/metabolic/nicotinamide-mononucleotide-long-lon02/longevity/v1,2025-11-06T07:16:45.039358+00:00
LONG-LON03,longevity,metabolic,resveratrol-long-lon03,Black,FAIL,entries/metabolic/resveratrol-long-lon03/longevity/v1,2025-11-06T07:16:45.115549+00:00
LONG-LON04,longevity,metabolic,pterostilbene-long-lon04,Black,FAIL,entries/metabolic/pterostilbene-long-lon04/longevity/v1,2025-11-06T07:16:45.183392+00:00
LONG-LON05,longevity,metabolic,fisetin-long-lon05,Black,FAIL,entries/metabolic/fisetin-long-lon05/longevity/v1,2025-11-06T07:16:45.253354+00:00
LONG-LON06,longevity,metabolic,quercetin-long-lon06,Black,FAIL,entries/metabolic/quercetin-long-lon06/longevity/v1,2025-11-06T07:16:45.320325+00:00
LONG-LON07,longevity,metabolic,spermidine-long-lon07,Black,FAIL,entries/metabolic/spermidine-long-lon07/longevity/v1,2025-11-06T07:16:45.396751+00:00
LONG-LON08,longevity,metabolic,taurine-long-lon08,Black,FAIL,entries/metabolic/taurine-long-lon08/longevity/v1,2025-11-06T07:16:45.464022+00:00
LONG-LON09,longevity,metabolic,melatonin-long-lon09,Black,FAIL,entries/metabolic/melatonin-long-lon09/longevity/v1,2025-11-06T07:16:45.533308+00:00
LONG-LON10,longevity,metabolic,coq10-long-lon10,Black,FAIL,entries/metabolic/coq10-long-lon10/longevity/v1,2025-11-06T07:16:45.601019+00:00
LONG-LON11,longevity,metabolic,astaxanthin-long-lon11,Black,FAIL,entries/metabolic/astaxanthin-long-lon11/longevity/v1,2025-11-06T07:16:45.668879+00:00
LONG-LON12,longevity,metabolic,urolithin-a-long-lon12,Black,FAIL,entries/metabolic/urolithin-a-long-lon12/longevity/v1,2025-11-06T07:16:45.734344+00:00
LONG-LON13,longevity,metabolic,alpha-ketoglutarate-long-lon13,Black,FAIL,entries/metabolic/alpha-ketoglutarate-long-lon13/longevity/v1,2025-11-06T07:16:45.809399+00:00
LONG-LON14,longevity,metabolic,collagen-long-lon14,Black,FAIL,entries/metabolic/collagen-long-lon14/longevity/v1,2025-11-06T07:16:45.877837+00:00
LONG-LON15,longevity,metabolic,glutathione-long-lon15,Black,FAIL,entries/metabolic/glutathione-long-lon15/longevity/v1,2025-11-06T07:16:45.949049+00:00
LONG-LON16,longevity,metabolic,curcumin-long-lon16,Black,FAIL,entries/metabolic/curcumin-long-lon16/longevity/v1,2025-11-06T07:16:46.018903+00:00
LONG-LON17,longevity,metabolic,berberine-long-lon17,Black,FAIL,entries/metabolic/berberine-long-lon17/longevity/v1,2025-11-06T07:16:46.092659+00:00
LONG-LON18,longevity,metabolic,metformin-analog-long-lon18,Black,FAIL,entries/metabolic/metformin-analog-long-lon18/longevity/v1,2025-11-06T07:16:46.165231+00:00
LONG-LON19,longevity,metabolic,rapamycin-microdose-long-lon19,Black,FAIL,entries/metabolic/rapamycin-microdose-long-lon19/longevity/v1,2025-11-06T07:16:46.245040+00:00
LONG-LON20,longevity,metabolic,omega-3-long-lon20,Black,FAIL,entries/metabolic/omega-3-long-lon20/longevity/v1,2025-11-06T07:16:46.311610+00:00
LONG-NMN-LONG,longevity,metabolic,nmn-long-nmn-long,Black,FAIL,entries/metabolic/nmn-long-nmn-long/longevity/v1,2025-11-06T07:16:46.378950+00:00
LONG-RESV-SIRT,longevity,metabolic,resveratrol-long-resv-sirt,Black,FAIL,entries/metabolic/resveratrol-long-resv-sirt/longevity/v1,2025-11-06T07:16:46.450283+00:00
LONG-SPERM-MITO,longevity,metabolic,spermidine-long-sperm-mito,Black,FAIL,entries/metabolic/spermidine-long-sperm-mito/longevity/v1,2025-11-06T07:16:46.520900+00:00
LONG-FIS-AGING,longevity,metabolic,fish-oil-long-fis-aging,Black,FAIL,entries/metabolic/fish-oil-long-fis-aging/longevity/v1,2025-11-06T07:16:46.588420+00:00
LONG-ASTAX-OX,longevity,metabolic,astaxanthin-long-astax-ox,Black,FAIL,entries/metabolic/astaxanthin-long-astax-ox/longevity/v1,2025-11-06T07:16:46.658210+00:00
LONG-GEN-0601,longevity,metabolic,resveratrol-long-gen-0601,Black,FAIL,entries/metabolic/resveratrol-long-gen-0601/longevity/v1,2025-11-06T07:16:46.726494+00:00
LONG-GEN-0602,longevity,metabolic,nmn-long-gen-0602,Black,FAIL,entries/metabolic/nmn-long-gen-0602/longevity/v1,2025-11-06T07:16:46.794137+00:00
LONG-GEN-0603,longevity,metabolic,nicotinamide-riboside-long-gen-0603,Black,FAIL,entries/metabolic/nicotinamide-riboside-long-gen-0603/longevity/v1,2025-11-06T07:16:46.859960+00:00
LONG-GEN-0604,longevity,metabolic,pterostilbene-long-gen-0604,Black,FAIL,entries/metabolic/pterostilbene-long-gen-0604/longevity/v1,2025-11-06T07:16:46.940236+00:00
LONG-GEN-0605,longevity,metabolic,fisetin-long-gen-0605,Black,FAIL,entries/metabolic/fisetin-long-gen-0605/longevity/v1,2025-11-06T07:16:47.009379+00:00
LONG-GEN-0606,longevity,metabolic,quercetin-long-gen-0606,Black,FAIL,entries/metabolic/quercetin-long-gen-0606/longevity/v1,2025-11-06T07:16:47.075487+00:00
LONG-GEN-0607,longevity,metabolic,curcumin-long-gen-0607,Black,FAIL,entries/metabolic/curcumin-long-gen-0607/longevity/v1,2025-11-06T07:16:47.145367+00:00
