entry_id,category,domain,slug,tier,label,path,generated_at
META-GEN-0401,metabolic,metabolic,berberine-meta-gen-0401,Silver,PASS,entries/metabolic/berberine-meta-gen-0401/metabolic/v1,2025-11-06T07:07:38.332161+00:00
META-GEN-0402,metabolic,metabolic,chromium-meta-gen-0402,Silver,PASS,entries/metabolic/chromium-meta-gen-0402/metabolic/v1,2025-11-06T07:07:38.408737+00:00
META-GEN-0403,metabolic,metabolic,alpha-lipoic-acid-meta-gen-0403,Silver,PASS,entries/metabolic/alpha-lipoic-acid-meta-gen-0403/metabolic/v1,2025-11-06T07:07:38.484377+00:00
META-GEN-0404,metabolic,metabolic,cinnamon-meta-gen-0404,Silver,PASS,entries/metabolic/cinnamon-meta-gen-0404/metabolic/v1,2025-11-06T07:07:38.554562+00:00
META-GEN-0405,metabolic,metabolic,gymnema-meta-gen-0405,Silver,PASS,entries/metabolic/gymnema-meta-gen-0405/metabolic/v1,2025-11-06T07:07:38.630865+00:00
META-GEN-0406,metabolic,metabolic,bitter-melon-meta-gen-0406,Silver,PASS,entries/metabolic/bitter-melon-meta-gen-0406/metabolic/v1,2025-11-06T07:07:38.703628+00:00
META-GEN-0407,metabolic,metabolic,fenugreek-meta-gen-0407,Silver,PASS,entries/metabolic/fenugreek-meta-gen-0407/metabolic/v1,2025-11-06T07:07:38.785261+00:00
META-GEN-0408,metabolic,metabolic,inositol-meta-gen-0408,Silver,PASS,entries/metabolic/inositol-meta-gen-0408/metabolic/v1,2025-11-06T07:07:38.856603+00:00
META-GEN-0409,metabolic,metabolic,carnitine-meta-gen-0409,Silver,PASS,entries/metabolic/carnitine-meta-gen-0409/metabolic/v1,2025-11-06T07:07:38.928901+00:00
META-GEN-0410,metabolic,metabolic,coq10-meta-gen-0410,Silver,PASS,entries/metabolic/coq10-meta-gen-0410/metabolic/v1,2025-11-06T07:07:38.999512+00:00
META-GEN-0411,metabolic,metabolic,omega-3-meta-gen-0411,Silver,PASS,entries/metabolic/omega-3-meta-gen-0411/metabolic/v1,2025-11-06T07:07:39.067328+00:00
META-GEN-0412,metabolic,metabolic,vitamin-d-meta-gen-0412,Silver,PASS,entries/metabolic/vitamin-d-meta-gen-0412/metabolic/v1,2025-11-06T07:07:39.156433+00:00
META-GEN-0413,metabolic,metabolic,magnesium-meta-gen-0413,Silver,PASS,entries/metabolic/magnesium-meta-gen-0413/metabolic/v1,2025-11-06T07:07:39.228407+00:00
META-GEN-0414,metabolic,metabolic,green-tea-meta-gen-0414,Silver,PASS,entries/metabolic/green-tea-meta-gen-0414/metabolic/v1,2025-11-06T07:07:39.299276+00:00
META-GEN-0415,metabolic,metabolic,resveratrol-meta-gen-0415,Silver,PASS,entries/metabolic/resveratrol-meta-gen-0415/metabolic/v1,2025-11-06T07:07:39.381370+00:00
META-GEN-0416,metabolic,metabolic,curcumin-meta-gen-0416,Silver,PASS,entries/metabolic/curcumin-meta-gen-0416/metabolic/v1,2025-11-06T07:07:39.449730+00:00
META-GEN-0417,metabolic,metabolic,milk-thistle-meta-gen-0417,Silver,PASS,entries/metabolic/milk-thistle-meta-gen-0417/metabolic/v1,2025-11-06T07:07:39.518110+00:00
META-GEN-0418,metabolic,metabolic,n-acetyl-cysteine-meta-gen-0418,Silver,PASS,entries/metabolic/n-acetyl-cysteine-meta-gen-0418/metabolic/v1,2025-11-06T07:07:39.603480+00:00
META-GEN-0419,metabolic,metabolic,taurine-meta-gen-0419,Silver,PASS,entries/metabolic/taurine-meta-gen-0419/metabolic/v1,2025-11-06T07:07:39.677977+00:00
META-GEN-0420,metabolic,metabolic,vanadium-meta-gen-0420,Silver,PASS,entries/metabolic/vanadium-meta-gen-0420/metabolic/v1,2025-11-06T07:07:39.751743+00:00
META-GEN-0421,metabolic,metabolic,berberine-meta-gen-0421,Silver,PASS,entries/metabolic/berberine-meta-gen-0421/metabolic/v1,2025-11-06T07:07:39.839114+00:00
META-GEN-0422,metabolic,metabolic,chromium-meta-gen-0422,Silver,PASS,entries/metabolic/chromium-meta-gen-0422/metabolic/v1,2025-11-06T07:07:39.913754+00:00
META-GEN-0423,metabolic,metabolic,alpha-lipoic-acid-meta-gen-0423,Silver,PASS,entries/metabolic/alpha-lipoic-acid-meta-gen-0423/metabolic/v1,2025-11-06T07:07:39.984917+00:00
META-GEN-0424,metabolic,metabolic,cinnamon-meta-gen-0424,Silver,PASS,entries/metabolic/cinnamon-meta-gen-0424/metabolic/v1,2025-11-06T07:07:40.055761+00:00
META-GEN-0425,metabolic,metabolic,gymnema-meta-gen-0425,Silver,PASS,entries/metabolic/gymnema-meta-gen-0425/metabolic/v1,2025-11-06T07:07:40.122850+00:00
META-GEN-0426,metabolic,metabolic,bitter-melon-meta-gen-0426,Silver,PASS,entries/metabolic/bitter-melon-meta-gen-0426/metabolic/v1,2025-11-06T07:07:40.212135+00:00
META-GEN-0427,metabolic,metabolic,fenugreek-meta-gen-0427,Silver,PASS,entries/metabolic/fenugreek-meta-gen-0427/metabolic/v1,2025-11-06T07:07:40.285423+00:00
META-GEN-0428,metabolic,metabolic,inositol-meta-gen-0428,Silver,PASS,entries/metabolic/inositol-meta-gen-0428/metabolic/v1,2025-11-06T07:07:40.354629+00:00
META-GEN-0429,metabolic,metabolic,carnitine-meta-gen-0429,Silver,PASS,entries/metabolic/carnitine-meta-gen-0429/metabolic/v1,2025-11-06T07:07:40.433199+00:00
META-GEN-0430,metabolic,metabolic,coq10-meta-gen-0430,Silver,PASS,entries/metabolic/coq10-meta-gen-0430/metabolic/v1,2025-11-06T07:07:40.514499+00:00
