entry_id,category,domain,slug,tier,label,path,generated_at
MUSC-MSK01,musculoskeletal,physiological,collagen-musc-msk01,Black,FAIL,entries/physiological/collagen-musc-msk01/musculoskeletal/v1,2025-11-06T07:17:04.232044+00:00
MUSC-MSK02,musculoskeletal,physiological,glucosamine-musc-msk02,Black,FAIL,entries/physiological/glucosamine-musc-msk02/musculoskeletal/v1,2025-11-06T07:17:04.297862+00:00
MUSC-MSK03,musculoskeletal,physiological,chondroitin-musc-msk03,Black,FAIL,entries/physiological/chondroitin-musc-msk03/musculoskeletal/v1,2025-11-06T07:17:04.363870+00:00
MUSC-MSK04,musculoskeletal,physiological,msm-musc-msk04,Black,FAIL,entries/physiological/msm-musc-msk04/musculoskeletal/v1,2025-11-06T07:17:04.430380+00:00
MUSC-MSK05,musculoskeletal,physiological,turmeric-musc-msk05,Black,FAIL,entries/physiological/turmeric-musc-msk05/musculoskeletal/v1,2025-11-06T07:17:04.495034+00:00
MUSC-MSK06,musculoskeletal,physiological,boswellia-musc-msk06,Black,FAIL,entries/physiological/boswellia-musc-msk06/musculoskeletal/v1,2025-11-06T07:17:04.562109+00:00
MUSC-MSK07,musculoskeletal,physiological,hyaluronic-acid-musc-msk07,Black,FAIL,entries/physiological/hyaluronic-acid-musc-msk07/musculoskeletal/v1,2025-11-06T07:17:04.637796+00:00
MUSC-MSK08,musculoskeletal,physiological,vitamin-d-musc-msk08,Black,FAIL,entries/physiological/vitamin-d-musc-msk08/musculoskeletal/v1,2025-11-06T07:17:04.707848+00:00
MUSC-MSK09,musculoskeletal,physiological,calcium-musc-msk09,Black,FAIL,entries/physiological/calcium-musc-msk09/musculoskeletal/v1,2025-11-06T07:17:04.775479+00:00
MUSC-MSK10,musculoskeletal,physiological,magnesium-musc-msk10,Black,FAIL,entries/physiological/magnesium-musc-msk10/musculoskeletal/v1,2025-11-06T07:17:04.841535+00:00
MUSC-MSK11,musculoskeletal,physiological,creatine-musc-msk11,Black,FAIL,entries/physiological/creatine-musc-msk11/musculoskeletal/v1,2025-11-06T07:17:04.910726+00:00
MUSC-MSK12,musculoskeletal,physiological,beta-alanine-musc-msk12,Black,FAIL,entries/physiological/beta-alanine-musc-msk12/musculoskeletal/v1,2025-11-06T07:17:04.977905+00:00
MUSC-MSK13,musculoskeletal,physiological,l-carnitine-musc-msk13,Black,FAIL,entries/physiological/l-carnitine-musc-msk13/musculoskeletal/v1,2025-11-06T07:17:05.046326+00:00
MUSC-MSK14,musculoskeletal,physiological,citrulline-musc-msk14,Black,FAIL,entries/physiological/citrulline-musc-msk14/musculoskeletal/v1,2025-11-06T07:17:05.116209+00:00
MUSC-MSK15,musculoskeletal,physiological,beetroot-musc-msk15,Black,FAIL,entries/physiological/beetroot-musc-msk15/musculoskeletal/v1,2025-11-06T07:17:05.184411+00:00
MUSC-MSK16,musculoskeletal,physiological,omega-3-musc-msk16,Black,FAIL,entries/physiological/omega-3-musc-msk16/musculoskeletal/v1,2025-11-06T07:17:05.254422+00:00
MUSC-MSK17,musculoskeletal,physiological,whey-protein-musc-msk17,Black,FAIL,entries/physiological/whey-protein-musc-msk17/musculoskeletal/v1,2025-11-06T07:17:05.321480+00:00
MUSC-MSK18,musculoskeletal,physiological,casein-musc-msk18,Black,FAIL,entries/physiological/casein-musc-msk18/musculoskeletal/v1,2025-11-06T07:17:05.390419+00:00
MUSC-MSK19,musculoskeletal,physiological,pea-protein-musc-msk19,Black,FAIL,entries/physiological/pea-protein-musc-msk19/musculoskeletal/v1,2025-11-06T07:17:05.463281+00:00
MUSC-MSK20,musculoskeletal,physiological,collagen-peptides-musc-msk20,Black,FAIL,entries/physiological/collagen-peptides-musc-msk20/musculoskeletal/v1,2025-11-06T07:17:05.537343+00:00
MSK-COLL-JOINT,musculoskeletal,physiological,collagen-msk-coll-joint,Black,FAIL,entries/physiological/collagen-msk-coll-joint/musculoskeletal/v1,2025-11-06T07:17:05.607748+00:00
MSK-BOSW-INFL,musculoskeletal,physiological,boswellia-msk-bosw-infl,Black,FAIL,entries/physiological/boswellia-msk-bosw-infl/musculoskeletal/v1,2025-11-06T07:17:05.676656+00:00
MSK-TURM-SPORT,musculoskeletal,physiological,curcumin-msk-turm-sport,Black,FAIL,entries/physiological/curcumin-msk-turm-sport/musculoskeletal/v1,2025-11-06T07:17:05.745950+00:00
MUSC-GEN-0701,musculoskeletal,physiological,creatine-musc-gen-0701,Black,FAIL,entries/physiological/creatine-musc-gen-0701/musculoskeletal/v1,2025-11-06T07:17:05.818245+00:00
MUSC-GEN-0702,musculoskeletal,physiological,hmb-musc-gen-0702,Black,FAIL,entries/physiological/hmb-musc-gen-0702/musculoskeletal/v1,2025-11-06T07:17:05.889535+00:00
MUSC-GEN-0703,musculoskeletal,physiological,leucine-musc-gen-0703,Black,FAIL,entries/physiological/leucine-musc-gen-0703/musculoskeletal/v1,2025-11-06T07:17:05.961669+00:00
MUSC-GEN-0704,musculoskeletal,physiological,collagen-musc-gen-0704,Black,FAIL,entries/physiological/collagen-musc-gen-0704/musculoskeletal/v1,2025-11-06T07:17:06.034165+00:00
MUSC-GEN-0705,musculoskeletal,physiological,vitamin-d-musc-gen-0705,Black,FAIL,entries/physiological/vitamin-d-musc-gen-0705/musculoskeletal/v1,2025-11-06T07:17:06.103065+00:00
MUSC-GEN-0706,musculoskeletal,physiological,calcium-musc-gen-0706,Black,FAIL,entries/physiological/calcium-musc-gen-0706/musculoskeletal/v1,2025-11-06T07:17:06.184209+00:00
MUSC-GEN-0707,musculoskeletal,physiological,magnesium-musc-gen-0707,Black,FAIL,entries/physiological/magnesium-musc-gen-0707/musculoskeletal/v1,2025-11-06T07:17:06.256601+00:00
MUSC-GEN-0708,musculoskeletal,physiological,vitamin-k2-musc-gen-0708,Black,FAIL,entries/physiological/vitamin-k2-musc-gen-0708/musculoskeletal/v1,2025-11-06T07:17:06.329012+00:00
