entry_id,category,domain,slug,tier,label,path,generated_at
SLEE-GEN-0011,sleep,behavioral,passionflower-slee-gen-0011,Gold,PASS,entries/behavioral/passionflower-slee-gen-0011/sleep/v1,2025-11-06T07:07:38.330572+00:00
SLEE-GEN-0012,sleep,behavioral,gaba-slee-gen-0012,Gold,PASS,entries/behavioral/gaba-slee-gen-0012/sleep/v1,2025-11-06T07:07:38.409654+00:00
SLEE-GEN-0013,sleep,behavioral,5htp-slee-gen-0013,Gold,PASS,entries/behavioral/5htp-slee-gen-0013/sleep/v1,2025-11-06T07:07:38.480970+00:00
SLEE-GEN-0014,sleep,behavioral,kava-slee-gen-0014,Gold,PASS,entries/behavioral/kava-slee-gen-0014/sleep/v1,2025-11-06T07:07:38.553699+00:00
SLEE-GEN-0015,sleep,behavioral,tryptophan-slee-gen-0015,Gold,PASS,entries/behavioral/tryptophan-slee-gen-0015/sleep/v1,2025-11-06T07:07:38.626336+00:00
SLEE-GEN-0016,sleep,behavioral,inositol-slee-gen-0016,Gold,PASS,entries/behavioral/inositol-slee-gen-0016/sleep/v1,2025-11-06T07:07:38.697170+00:00
SLEE-GEN-0017,sleep,behavioral,matcha-slee-gen-0017,Gold,PASS,entries/behavioral/matcha-slee-gen-0017/sleep/v1,2025-11-06T07:07:38.778454+00:00
SLEE-GEN-0018,sleep,behavioral,magnesium-threonate-slee-gen-0018,Gold,PASS,entries/behavioral/magnesium-threonate-slee-gen-0018/sleep/v1,2025-11-06T07:07:38.851251+00:00
SLEE-GEN-0019,sleep,behavioral,valerian-slee-gen-0019,Gold,PASS,entries/behavioral/valerian-slee-gen-0019/sleep/v1,2025-11-06T07:07:38.930554+00:00
SLEE-GEN-0020,sleep,behavioral,hops-slee-gen-0020,Gold,PASS,entries/behavioral/hops-slee-gen-0020/sleep/v1,2025-11-06T07:07:39.000594+00:00
SLEE-GEN-0021,sleep,behavioral,magnesium-slee-gen-0021,Gold,PASS,entries/behavioral/magnesium-slee-gen-0021/sleep/v1,2025-11-06T07:07:39.072321+00:00
SLEE-GEN-0022,sleep,behavioral,melatonin-slee-gen-0022,Gold,PASS,entries/behavioral/melatonin-slee-gen-0022/sleep/v1,2025-11-06T07:07:39.139953+00:00
SLEE-GEN-0023,sleep,behavioral,ashwagandha-slee-gen-0023,Gold,PASS,entries/behavioral/ashwagandha-slee-gen-0023/sleep/v1,2025-11-06T07:07:39.218506+00:00
SLEE-GEN-0024,sleep,behavioral,glycine-slee-gen-0024,Gold,PASS,entries/behavioral/glycine-slee-gen-0024/sleep/v1,2025-11-06T07:07:39.287364+00:00
SLEE-GEN-0025,sleep,behavioral,l-theanine-slee-gen-0025,Gold,PASS,entries/behavioral/l-theanine-slee-gen-0025/sleep/v1,2025-11-06T07:07:39.367359+00:00
SLEE-GEN-0026,sleep,behavioral,chamomile-slee-gen-0026,Gold,PASS,entries/behavioral/chamomile-slee-gen-0026/sleep/v1,2025-11-06T07:07:39.434404+00:00
SLEE-GEN-0027,sleep,behavioral,tart-cherry-slee-gen-0027,Gold,PASS,entries/behavioral/tart-cherry-slee-gen-0027/sleep/v1,2025-11-06T07:07:39.505060+00:00
SLEE-GEN-0028,sleep,behavioral,lavender-slee-gen-0028,Gold,PASS,entries/behavioral/lavender-slee-gen-0028/sleep/v1,2025-11-06T07:07:39.576217+00:00
SLEE-GEN-0029,sleep,behavioral,cbd-slee-gen-0029,Gold,PASS,entries/behavioral/cbd-slee-gen-0029/sleep/v1,2025-11-06T07:07:39.644856+00:00
SLEE-GEN-0030,sleep,behavioral,lemon-balm-slee-gen-0030,Gold,PASS,entries/behavioral/lemon-balm-slee-gen-0030/sleep/v1,2025-11-06T07:07:39.711380+00:00
SLEE-GEN-0031,sleep,behavioral,passionflower-slee-gen-0031,Gold,PASS,entries/behavioral/passionflower-slee-gen-0031/sleep/v1,2025-11-06T07:07:39.792228+00:00
SLEE-GEN-0032,sleep,behavioral,gaba-slee-gen-0032,Gold,PASS,entries/behavioral/gaba-slee-gen-0032/sleep/v1,2025-11-06T07:07:39.869161+00:00
SLEE-GEN-0033,sleep,behavioral,5htp-slee-gen-0033,Gold,PASS,entries/behavioral/5htp-slee-gen-0033/sleep/v1,2025-11-06T07:07:39.946477+00:00
SLEE-GEN-0034,sleep,behavioral,kava-slee-gen-0034,Gold,PASS,entries/behavioral/kava-slee-gen-0034/sleep/v1,2025-11-06T07:07:40.018529+00:00
SLEE-GEN-0035,sleep,behavioral,tryptophan-slee-gen-0035,Gold,PASS,entries/behavioral/tryptophan-slee-gen-0035/sleep/v1,2025-11-06T07:07:40.088326+00:00
SLEE-GEN-0036,sleep,behavioral,inositol-slee-gen-0036,Gold,PASS,entries/behavioral/inositol-slee-gen-0036/sleep/v1,2025-11-06T07:07:40.155036+00:00
SLEE-GEN-0037,sleep,behavioral,matcha-slee-gen-0037,Gold,PASS,entries/behavioral/matcha-slee-gen-0037/sleep/v1,2025-11-06T07:07:40.228161+00:00
SLEE-GEN-0038,sleep,behavioral,magnesium-threonate-slee-gen-0038,Gold,PASS,entries/behavioral/magnesium-threonate-slee-gen-0038/sleep/v1,2025-11-06T07:07:40.300542+00:00
SLEE-GEN-0039,sleep,behavioral,valerian-slee-gen-0039,Gold,PASS,entries/behavioral/valerian-slee-gen-0039/sleep/v1,2025-11-06T07:07:40.377119+00:00
SLEE-GEN-0040,sleep,behavioral,hops-slee-gen-0040,Gold,PASS,entries/behavioral/hops-slee-gen-0040/sleep/v1,2025-11-06T07:07:40.443746+00:00
SLEE-GEN-0041,sleep,behavioral,magnesium-slee-gen-0041,Gold,PASS,entries/behavioral/magnesium-slee-gen-0041/sleep/v1,2025-11-06T07:07:40.513929+00:00
SLEE-GEN-0042,sleep,behavioral,melatonin-slee-gen-0042,Gold,PASS,entries/behavioral/melatonin-slee-gen-0042/sleep/v1,2025-11-06T07:07:40.588635+00:00
SLEE-GEN-0043,sleep,behavioral,ashwagandha-slee-gen-0043,Gold,PASS,entries/behavioral/ashwagandha-slee-gen-0043/sleep/v1,2025-11-06T07:07:40.656734+00:00
SLEE-GEN-0044,sleep,behavioral,glycine-slee-gen-0044,Gold,PASS,entries/behavioral/glycine-slee-gen-0044/sleep/v1,2025-11-06T07:07:40.726556+00:00
