entry_id,category,domain,slug,tier,label,path,generated_at
CARD-BERG-LIPID,cardiovascular,physiological,bergamot-card-berg-lipid,Black,FAIL,entries/physiological/bergamot-card-berg-lipid/cardiovascular/v1,2025-11-06T07:48:04.241931+00:00
INFL-GEN-0581,inflammation,immune,curcumin-infl-gen-0581,Black,FAIL,entries/immune/curcumin-infl-gen-0581/inflammation/v1,2025-11-06T07:48:04.306363+00:00
INFL-GEN-0582,inflammation,immune,omega-3-infl-gen-0582,Black,FAIL,entries/immune/omega-3-infl-gen-0582/inflammation/v1,2025-11-06T07:48:04.369683+00:00
INFL-GEN-0583,inflammation,immune,boswellia-infl-gen-0583,Black,FAIL,entries/immune/boswellia-infl-gen-0583/inflammation/v1,2025-11-06T07:48:04.433596+00:00
INFL-GEN-0584,inflammation,immune,ginger-infl-gen-0584,Black,FAIL,entries/immune/ginger-infl-gen-0584/inflammation/v1,2025-11-06T07:48:04.501311+00:00
INFL-GEN-0585,inflammation,immune,quercetin-infl-gen-0585,Black,FAIL,entries/immune/quercetin-infl-gen-0585/inflammation/v1,2025-11-06T07:48:04.565946+00:00
INFL-GEN-0586,inflammation,immune,resveratrol-infl-gen-0586,Black,FAIL,entries/immune/resveratrol-infl-gen-0586/inflammation/v1,2025-11-06T07:48:04.638714+00:00
INFL-GEN-0587,inflammation,immune,green-tea-infl-gen-0587,Black,FAIL,entries/immune/green-tea-infl-gen-0587/inflammation/v1,2025-11-06T07:48:04.703883+00:00
INFL-GEN-0588,inflammation,immune,bromelain-infl-gen-0588,Black,FAIL,entries/immune/bromelain-infl-gen-0588/inflammation/v1,2025-11-06T07:48:04.768339+00:00
INFL-GEN-0589,inflammation,immune,devil-s-claw-infl-gen-0589,Black,FAIL,entries/immune/devil-s-claw-infl-gen-0589/inflammation/v1,2025-11-06T07:48:04.833151+00:00
INFL-GEN-0590,inflammation,immune,white-willow-infl-gen-0590,Black,FAIL,entries/immune/white-willow-infl-gen-0590/inflammation/v1,2025-11-06T07:48:04.897228+00:00
INFL-GEN-0591,inflammation,immune,msm-infl-gen-0591,Black,FAIL,entries/immune/msm-infl-gen-0591/inflammation/v1,2025-11-06T07:48:04.961101+00:00
INFL-GEN-0592,inflammation,immune,sam-e-infl-gen-0592,Black,FAIL,entries/immune/sam-e-infl-gen-0592/inflammation/v1,2025-11-06T07:48:05.026174+00:00
INFL-GEN-0593,inflammation,immune,glucosamine-infl-gen-0593,Black,FAIL,entries/immune/glucosamine-infl-gen-0593/inflammation/v1,2025-11-06T07:48:05.090751+00:00
INFL-GEN-0594,inflammation,immune,chondroitin-infl-gen-0594,Black,FAIL,entries/immune/chondroitin-infl-gen-0594/inflammation/v1,2025-11-06T07:48:05.162053+00:00
INFL-GEN-0595,inflammation,immune,collagen-infl-gen-0595,Black,FAIL,entries/immune/collagen-infl-gen-0595/inflammation/v1,2025-11-06T07:48:05.245463+00:00
INFL-GEN-0596,inflammation,immune,vitamin-d-infl-gen-0596,Black,FAIL,entries/immune/vitamin-d-infl-gen-0596/inflammation/v1,2025-11-06T07:48:05.319132+00:00
INFL-GEN-0597,inflammation,immune,vitamin-c-infl-gen-0597,Black,FAIL,entries/immune/vitamin-c-infl-gen-0597/inflammation/v1,2025-11-06T07:48:05.385502+00:00
INFL-GEN-0598,inflammation,immune,zinc-infl-gen-0598,Black,FAIL,entries/immune/zinc-infl-gen-0598/inflammation/v1,2025-11-06T07:48:05.451657+00:00
INFL-GEN-0599,inflammation,immune,n-acetyl-cysteine-infl-gen-0599,Black,FAIL,entries/immune/n-acetyl-cysteine-infl-gen-0599/inflammation/v1,2025-11-06T07:48:05.517804+00:00
INFL-GEN-0600,inflammation,immune,spirulina-infl-gen-0600,Black,FAIL,entries/immune/spirulina-infl-gen-0600/inflammation/v1,2025-11-06T07:48:05.581659+00:00
